COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
MUP 207,INTRODUCTION TO HOUSING ISSUES AND POLICY IN URBAN DEVELOPMENT,1,2,,TUTORIAL,Sat (06:00 PM) - (09:00 PM) AF101               ,,
MUP 210,GENDER ISSUES IN DEVELOPMENT,1,0,,REGULAR,Sat (02:30 PM) - (05:30 PM) 1B12c               ,,
MUP 230,APPLIED RESEARCH PLANNING PROJECT PREPARATION,1,0,,REGULAR,Sat (08:00 AM) - (11:00 AM) 1B12c               Sat (11:30 AM) - (02:30 PM) 1B12c               ,,
MUP 230,APPLIED RESEARCH PLANNING PROJECT PREPARATION,2,0,,REGULAR,Sat (08:00 AM) - (11:00 AM) 1B12c               ,,
NATSC 3,ENVIRONMENTAL SCIENCE,1,30,,PETITION,TTh (01:30 PM) - (03:00 PM) AF102               ,,
NATSC 3,ENVIRONMENTAL SCIENCE,3,27,,PETITION,MWF (07:30 AM) - (08:30 AM) AF103TC             ,,
NSTP 2,NATIONAL SERVICE TRAINING PROGRAM 2,28,0,,DISSOLVED,Sat (03:00 PM) - (06:00 PM) AF104TC             ,,
NSTP 2,NATIONAL SERVICE TRAINING PROGRAM 2,27,44,,HONORARIUM-BASED,Sat (01:30 PM) - (04:30 PM) AF103TC             ,,
NSTP 2,NATIONAL SERVICE TRAINING PROGRAM 2,29,45,,HONORARIUM-BASED,Sat (03:30 PM) - (06:30 PM) AF104TC             ,,
PA 222,SCULPTURE 2,1,6,,PETITION,W (08:30 AM) - (12:30 PM) AF2B11TC            ,,
PA 412X,INSTALLATION AND PERFORMANCE ART,1,12,,PETITION,W (01:30 PM) - (05:30 PM) AF2B11TC            ,,
PDEV 01,PERSONAL DEVELOPMENT,1,39,,BLOCKSECTION,TTh (03:00 PM) - (04:30 PM) AFCB4TC             ,,
PDEV 01,PERSONAL DEVELOPMENT,13,2,,DISSOLVED,MW (07:30 AM) - (09:00 AM) AF211TC             ,,
PLAN 1N,SITE PLANNING AND HOUSING,1,10,,PETITION,TTh (09:00 AM) - (10:30 AM) 2B06                ,,
PLAN 2N,"INTRODUCTION TO URBAN AND REGIONAL PLANNING, HOUSING",2,1,,DISSOLVED,MWF (02:30 PM) - (03:30 PM) AF3B02              ,,
